prefecture,area
Hokkaido,Hokkaido
Aomori,Tohoku
Iwate,Tohoku
Miyagi,Tohoku
Akita,Tohoku
Yamagata,Tohoku
Fukushima,Tohoku
Ibaraki,Kanto
Tochigi,Kanto
Gunma,Kanto
Saitama,Kanto
Chiba,Kanto
Tokyo,Kanto
Kanagawa,Kanto
Niigata,Chubu
Toyama,Chubu
Ishikawa,Chubu
Fukui,Chubu
Yamanashi,Chubu
Nagano,Chubu
Gifu,Chubu
Shizuoka,Chubu
Aichi,Chubu
Mie,Kinki
Shiga,Kinki
Kyoto,Kinki
Osaka,Kinki
Hyogo,Kinki
Nara,Kinki
Wakayama,Kinki
Tottori,Chugoku
Shimane,Chugoku
Okayama,Chugoku
Hiroshima,Chugoku
Yamaguchi,Chugoku
Tokushima,Shikoku
Kagawa,Shikoku
Ehime,Shikoku
Kochi,Shikoku
Fukuoka,Kyusyu
Saga,Kyusyu
Nagasaki,Kyusyu
Kumamoto,Kyusyu
Oita,Kyusyu
Miyazaki,Kyusyu
Kagoshima,Kyusyu
Okinawa,Kyusyu
